param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,autorewrite-regression-cubic-sys,autorewrite-regression-cubic-user,rewrite!-regression-cubic-real,rewrite!-regression-cubic-sys,rewrite!-regression-cubic-user,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-sys,rewrite-strat(bottomup)-regression-cubic-user,rewrite-strat(topdown)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-sys,rewrite-strat(topdown)-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user,ssr-rewrite!-regression-cubic-real,ssr-rewrite!-regression-cubic-sys,ssr-rewrite!-regression-cubic-user
8,0,8,19,3,8,,,,,,,0.002,0.002,0.,0.,0.,0.,,,,,,
9,0,9,21,3,9,,,,,,,0.002,0.,0.002,0.001,0.001,0.,,,,,,
9,1,3,25,7,9,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001
10,0,10,23,3,10,0.001,0.,0.001,,,,0.003,0.,0.003,0.001,0.001,0.,0.003,0.003,0.,0.001,0.,0.001
11,0,11,25,3,11,,,,,,,0.003,0.003,0.,0.001,0.001,0.,,,,,,
12,0,12,27,3,12,,,,,,,0.003,0.,0.003,0.001,0.,0.001,,,,,,
12,1,4,31,7,12,,,,,,,0.003,0.,0.003,0.001,0.,0.001,0.002,0.,0.002,,,
13,0,13,29,3,13,0.001,0.,0.001,0.001,0.,0.001,0.004,0.,0.004,0.001,0.,0.001,0.004,0.,0.004,0.002,0.,0.002
14,0,14,31,3,14,,,,,,,0.004,0.,0.004,0.001,0.,0.001,,,,,,
14,2,2,43,15,14,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.003,0.,0.003,0.001,0.,0.001
15,0,15,33,3,15,,,,,,,0.005,0.003,0.001,0.002,0.,0.002,,,,,,
15,1,5,37,7,15,0.001,0.,0.001,0.001,0.,0.001,0.004,0.,0.004,0.001,0.,0.001,0.003,0.,0.003,0.002,0.,0.002
15,3,1,61,31,15,0.001,0.,0.001,0.,0.,0.,0.005,0.003,0.002,0.002,0.,0.002,0.005,0.,0.005,0.001,0.,0.001
16,0,16,35,3,16,0.002,0.002,0.,,,,0.005,0.,0.005,0.002,0.,0.002,0.006,0.,0.006,0.002,0.,0.002
17,0,17,37,3,17,,,,,,,0.005,0.,0.004,0.002,0.,0.002,,,,,,
18,0,18,39,3,18,,,,,,,0.005,0.,0.005,0.002,0.002,0.,,,,,,
18,1,6,43,7,18,,,,,,,0.005,0.,0.005,0.002,0.,0.002,0.004,0.,0.004,,,
19,0,19,41,3,19,0.002,0.,0.002,0.002,0.,0.002,0.005,0.,0.005,0.002,0.002,0.,0.007,0.003,0.003,0.003,0.,0.003
20,0,20,43,3,20,,,,,,,0.006,0.,0.006,0.039,0.004,0.035,,,,,,
21,0,21,45,3,21,,,,,,,0.006,0.,0.006,0.002,0.,0.002,,,,,,
21,1,7,49,7,21,0.001,0.,0.001,0.001,0.,0.001,0.006,0.,0.006,0.002,0.,0.002,0.006,0.,0.006,0.003,0.,0.003
21,2,3,57,15,21,0.001,0.,0.001,0.001,0.,0.001,0.006,0.,0.006,0.004,0.,0.004,0.005,0.,0.005,0.002,0.,0.002
22,0,22,47,3,22,0.003,0.,0.003,,,,0.007,0.,0.007,0.002,0.,0.002,0.009,0.004,0.004,0.005,0.,0.005
23,0,23,49,3,23,,,,,,,0.008,0.,0.008,0.002,0.,0.002,,,,,,
24,0,24,51,3,24,,,,,,,0.008,0.,0.008,0.002,0.,0.002,,,,,,
24,1,8,55,7,24,,,,,,,0.008,0.,0.008,0.002,0.,0.002,0.006,0.,0.006,,,
25,0,25,53,3,25,0.004,0.,0.004,0.003,0.,0.003,0.008,0.,0.008,0.003,0.,0.003,0.047,0.007,0.039,0.006,0.003,0.002
26,0,26,55,3,26,,,,,,,0.009,0.,0.009,0.003,0.,0.003,,,,,,
27,0,27,57,3,27,,,,,,,0.009,0.,0.009,0.003,0.,0.003,,,,,,
27,1,9,61,7,27,0.002,0.,0.002,0.002,0.,0.002,0.009,0.,0.009,0.003,0.,0.003,0.007,0.,0.007,0.004,0.,0.004
28,0,28,59,3,28,0.004,0.,0.004,,,,0.011,0.,0.011,0.003,0.,0.003,0.009,0.,0.009,0.007,0.003,0.003
28,2,4,71,15,28,0.002,0.,0.002,0.001,0.,0.001,0.01,0.,0.01,0.003,0.,0.003,0.007,0.,0.007,0.003,0.,0.003
29,0,29,61,3,29,,,,,,,0.01,0.,0.01,0.003,0.,0.003,,,,,,
30,0,30,63,3,30,,,,,,,0.011,0.,0.011,0.003,0.,0.003,,,,,,
30,1,10,67,7,30,,,,,,,0.011,0.,0.011,0.003,0.,0.003,0.009,0.,0.009,,,
30,3,2,91,31,30,0.001,0.,0.001,0.002,0.002,0.,0.012,0.004,0.008,0.003,0.,0.003,0.009,0.003,0.005,0.003,0.,0.003
31,0,31,65,3,31,0.005,0.,0.005,0.005,0.,0.005,0.012,0.,0.012,0.004,0.,0.004,0.011,0.,0.011,0.046,0.003,0.042
31,4,1,125,63,31,0.001,0.,0.001,0.002,0.,0.002,0.009,0.,0.009,0.005,0.,0.005,0.009,0.,0.009,0.002,0.,0.002
32,0,32,67,3,32,,,,,,,0.013,0.,0.013,0.004,0.,0.004,,,,,,
33,0,33,69,3,33,,,,,,,0.013,0.,0.013,0.004,0.,0.004,,,,,,
33,1,11,73,7,33,0.003,0.,0.003,0.003,0.,0.003,0.014,0.,0.014,0.004,0.,0.004,0.01,0.,0.01,0.006,0.,0.006
34,0,34,71,3,34,0.043,0.011,0.031,,,,0.014,0.,0.014,0.004,0.,0.004,0.013,0.,0.013,0.007,0.,0.007
35,0,35,73,3,35,,,,,,,0.016,0.,0.016,0.005,0.,0.005,,,,,,
35,2,5,85,15,35,0.002,0.,0.002,0.002,0.,0.002,0.014,0.,0.014,0.004,0.,0.004,0.009,0.,0.009,0.005,0.003,0.002
36,0,36,75,3,36,,,,,,,0.015,0.,0.015,0.006,0.,0.006,,,,,,
36,1,12,79,7,36,,,,,,,0.015,0.,0.015,0.005,0.,0.005,0.011,0.,0.011,,,
37,0,37,77,3,37,0.005,0.,0.005,0.006,0.003,0.003,0.016,0.,0.016,0.005,0.,0.005,0.014,0.,0.014,0.009,0.,0.008
38,0,38,79,3,38,,,,,,,0.017,0.,0.017,0.005,0.,0.005,,,,,,
39,0,39,81,3,39,,,,,,,0.017,0.,0.017,0.006,0.,0.006,,,,,,
39,1,13,85,7,39,0.004,0.,0.004,0.004,0.,0.004,0.017,0.,0.017,0.008,0.,0.008,0.012,0.,0.012,0.014,0.,0.014
40,0,40,83,3,40,0.006,0.,0.006,,,,0.018,0.,0.018,0.006,0.,0.006,0.015,0.,0.015,0.01,0.,0.01
41,0,41,85,3,41,,,,,,,0.02,0.,0.02,0.007,0.,0.007,,,,,,
42,0,42,87,3,42,,,,,,,0.019,0.,0.019,0.006,0.,0.006,,,,,,
42,1,14,91,7,42,,,,,,,0.022,0.,0.022,0.006,0.,0.006,0.014,0.,0.014,,,
42,2,6,99,15,42,0.003,0.,0.003,0.003,0.,0.003,0.019,0.,0.019,0.005,0.,0.005,0.012,0.,0.012,0.01,0.,0.01
43,0,43,89,3,43,0.006,0.,0.006,0.008,0.,0.008,0.02,0.,0.02,0.007,0.,0.007,0.018,0.,0.018,0.012,0.,0.012
44,0,44,91,3,44,,,,,,,0.021,0.,0.021,0.007,0.,0.007,,,,,,
45,0,45,93,3,45,,,,,,,0.021,0.,0.021,0.008,0.,0.008,,,,,,
45,1,15,97,7,45,0.005,0.,0.005,0.012,0.,0.012,0.021,0.,0.021,0.007,0.,0.007,0.015,0.,0.015,0.01,0.,0.01
45,3,3,121,31,45,0.002,0.,0.002,0.003,0.,0.002,0.023,0.011,0.011,0.006,0.,0.006,0.015,0.007,0.007,0.005,0.,0.005
46,0,46,95,3,46,0.007,0.,0.007,,,,0.024,0.,0.024,0.008,0.,0.008,0.02,0.,0.02,0.013,0.,0.013
47,0,47,97,3,47,,,,,,,0.023,0.,0.023,0.008,0.,0.008,,,,,,
48,0,48,99,3,48,,,,,,,0.025,0.,0.025,0.009,0.,0.009,,,,,,
48,1,16,103,7,48,,,,,,,0.023,0.,0.023,0.008,0.,0.008,0.018,0.,0.018,,,
49,0,49,101,3,49,0.009,0.,0.009,0.045,0.,0.045,0.025,0.,0.025,0.008,0.,0.008,0.021,0.,0.021,0.015,0.,0.015
49,2,7,113,15,49,0.004,0.,0.004,0.004,0.,0.004,0.023,0.,0.023,0.007,0.,0.007,0.015,0.,0.015,0.009,0.,0.009
50,0,50,103,3,50,,,,,,,0.028,0.,0.028,0.009,0.,0.009,,,,,,
51,0,51,105,3,51,,,,,,,0.027,0.,0.027,0.009,0.,0.009,,,,,,
51,1,17,109,7,51,0.006,0.,0.006,0.006,0.,0.006,0.026,0.,0.026,0.009,0.,0.009,0.019,0.,0.019,0.012,0.,0.012
52,0,52,107,3,52,0.009,0.,0.009,,,,0.028,0.,0.028,0.009,0.,0.009,0.024,0.,0.024,0.016,0.,0.016
53,0,53,109,3,53,,,,,,,0.028,0.,0.028,0.01,0.,0.01,,,,,,
54,0,54,111,3,54,,,,,,,0.032,0.,0.032,0.011,0.,0.011,,,,,,
54,1,18,115,7,54,,,,,,,0.029,0.,0.029,0.009,0.,0.009,0.021,0.,0.021,,,
55,0,55,113,3,55,0.009,0.,0.009,0.01,0.,0.01,0.03,0.,0.03,0.01,0.,0.01,0.025,0.,0.025,0.018,0.,0.018
56,0,56,115,3,56,,,,,,,0.032,0.,0.032,0.011,0.,0.011,,,,,,
56,2,8,127,15,56,0.005,0.,0.005,0.01,0.,0.01,0.033,0.,0.033,0.009,0.,0.009,0.018,0.,0.018,0.011,0.,0.011
57,0,57,117,3,57,,,,,,,0.035,0.,0.035,0.014,0.,0.014,,,,,,
57,1,19,121,7,57,0.007,0.,0.007,0.007,0.,0.007,0.033,0.,0.033,0.01,0.,0.01,0.022,0.,0.022,0.016,0.,0.016
58,0,58,119,3,58,0.01,0.,0.01,,,,0.033,0.,0.033,0.012,0.,0.012,0.029,0.,0.029,0.019,0.,0.019
59,0,59,121,3,59,,,,,,,0.036,0.,0.036,0.013,0.,0.013,,,,,,
60,0,60,123,3,60,,,,,,,0.035,0.,0.035,0.012,0.,0.012,,,,,,
60,1,20,127,7,60,,,,,,,0.035,0.,0.035,0.012,0.,0.012,0.025,0.,0.025,,,
60,3,4,151,31,60,0.004,0.,0.004,0.004,0.,0.004,0.068,0.008,0.06,0.009,0.,0.009,0.058,0.015,0.042,0.008,0.,0.008
61,0,61,125,3,61,0.013,0.,0.013,0.011,0.,0.011,0.042,0.,0.042,0.013,0.,0.013,0.03,0.,0.03,0.023,0.,0.023
62,0,62,127,3,62,,,,,,,0.039,0.,0.039,0.016,0.,0.016,,,,,,
62,4,2,187,63,62,0.003,0.,0.003,0.008,0.,0.008,0.03,0.,0.03,0.009,0.,0.009,0.017,0.,0.017,0.006,0.,0.006
63,0,63,129,3,63,,,,,,,0.046,0.,0.046,0.013,0.,0.013,,,,,,
63,1,21,133,7,63,0.008,0.,0.008,0.008,0.,0.008,0.037,0.,0.037,0.012,0.,0.012,0.026,0.,0.026,0.018,0.,0.018
63,2,9,141,15,63,0.005,0.,0.005,0.005,0.,0.005,0.036,0.,0.036,0.01,0.,0.01,0.023,0.,0.023,0.012,0.,0.012
63,5,1,253,127,63,0.003,0.,0.003,0.002,0.,0.002,0.027,0.,0.027,0.012,0.,0.012,0.018,0.,0.018,0.004,0.,0.004
64,0,64,131,3,64,0.012,0.,0.012,,,,0.039,0.,0.039,0.014,0.,0.014,0.035,0.,0.035,0.024,0.,0.024
65,0,65,133,3,65,,,,,,,0.041,0.,0.041,0.014,0.,0.014,,,,,,
66,0,66,135,3,66,,,,,,,0.046,0.,0.046,0.017,0.,0.017,,,,,,
66,1,22,139,7,66,,,,,,,0.043,0.,0.043,0.013,0.,0.013,0.03,0.,0.03,,,
67,0,67,137,3,67,0.014,0.,0.014,0.014,0.,0.014,0.044,0.,0.044,0.015,0.,0.015,0.035,0.,0.035,0.025,0.,0.025
68,0,68,139,3,68,,,,,,,,,,0.017,0.,0.017,,,,,,
69,0,69,141,3,69,,,,,,,,,,0.016,0.,0.016,,,,,,
69,1,23,145,7,69,0.01,0.,0.01,0.011,0.,0.011,0.051,0.,0.051,0.014,0.,0.014,0.03,0.,0.03,0.022,0.,0.022
70,0,70,143,3,70,0.014,0.,0.014,,,,,,,0.02,0.,0.02,0.039,0.,0.039,0.03,0.,0.03
70,2,10,155,15,70,0.006,0.,0.006,0.006,0.,0.006,0.043,0.,0.043,0.012,0.,0.012,0.025,0.,0.025,0.015,0.,0.015
71,0,71,145,3,71,,,,,,,,,,0.019,0.,0.019,,,,,,
72,0,72,147,3,72,,,,,,,,,,0.017,0.,0.017,,,,,,
72,1,24,151,7,72,,,,,,,,,,0.015,0.,0.015,0.033,0.,0.033,,,
73,0,73,149,3,73,0.015,0.,0.015,0.016,0.,0.016,,,,0.022,0.,0.022,0.04,0.,0.04,0.03,0.,0.03
74,0,74,151,3,74,,,,,,,0.053,0.,0.053,0.018,0.,0.018,,,,,,
75,0,75,153,3,75,,,,,,,,,,0.021,0.002,0.018,,,,,,
75,1,25,157,7,75,0.011,0.,0.011,0.011,0.,0.011,,,,0.017,0.,0.017,0.035,0.,0.035,0.025,0.,0.025
75,3,5,181,31,75,0.005,0.,0.005,0.006,0.,0.006,0.046,0.,0.046,0.015,0.,0.015,0.025,0.,0.025,0.012,0.007,0.005
76,0,76,155,3,76,0.019,0.,0.019,,,,,,,0.027,0.,0.027,0.044,0.,0.044,0.033,0.,0.033
77,0,77,157,3,77,,,,,,,,,,0.02,0.,0.02,,,,,,
77,2,11,169,15,77,0.008,0.,0.008,0.008,0.,0.008,,,,0.014,0.,0.014,0.03,0.,0.03,0.017,0.,0.017
78,0,78,159,3,78,,,,,,,,,,0.022,0.,0.022,,,,,,
78,1,26,163,7,78,,,,,,,0.055,0.,0.055,0.017,0.,0.017,0.039,0.003,0.035,,,
79,0,79,161,3,79,0.019,0.,0.019,0.019,0.,0.019,,,,0.024,0.,0.024,0.045,0.,0.045,0.035,0.,0.035
80,0,80,163,3,80,,,,,,,,,,0.021,0.,0.021,,,,,,
81,0,81,165,3,81,,,,,,,0.06,0.,0.06,0.023,0.,0.023,,,,,,
81,1,27,169,7,81,0.012,0.,0.012,0.013,0.,0.013,,,,0.019,0.,0.019,0.04,0.,0.04,0.028,0.,0.028
82,0,82,167,3,82,0.019,0.,0.019,,,,,,,0.024,0.,0.024,0.048,0.,0.048,0.039,0.,0.039
83,0,83,169,3,83,,,,,,,,,,0.024,0.,0.024,,,,,,
84,0,84,171,3,84,,,,,,,,,,0.023,0.,0.023,,,,,,
84,1,28,175,7,84,,,,,,,,,,0.021,0.,0.021,0.042,0.,0.042,,,
84,2,12,183,15,84,0.009,0.,0.009,0.009,0.,0.009,0.059,0.,0.059,0.017,0.,0.017,0.036,0.,0.036,0.021,0.,0.021
85,0,85,173,3,85,0.023,0.,0.023,0.02,0.,0.02,,,,0.028,0.,0.028,0.053,0.,0.053,0.04,0.,0.04
86,0,86,175,3,86,,,,,,,,,,0.025,0.,0.025,,,,,,
87,0,87,177,3,87,,,,,,,,,,0.029,0.,0.029,,,,,,
87,1,29,181,7,87,0.015,0.,0.015,0.016,0.,0.016,0.071,0.,0.071,0.021,0.,0.021,0.045,0.,0.045,0.034,0.,0.034
88,0,88,179,3,88,0.021,0.,0.021,,,,0.072,0.,0.072,0.028,0.,0.028,0.058,0.,0.058,0.044,0.,0.044
89,0,89,181,3,89,,,,,,,,,,0.031,0.,0.031,,,,,,
90,0,90,183,3,90,,,,,,,,,,0.026,0.,0.026,,,,,,
90,1,30,187,7,90,,,,,,,,,,0.022,0.,0.022,0.047,0.,0.047,,,
90,3,6,211,31,90,0.008,0.,0.008,0.008,0.,0.008,0.065,0.,0.065,0.016,0.,0.016,0.034,0.,0.034,0.049,0.003,0.046
91,0,91,185,3,91,0.023,0.,0.023,0.023,0.,0.023,,,,0.029,0.,0.029,0.063,0.,0.063,0.048,0.,0.048
91,2,13,197,15,91,0.01,0.,0.01,0.011,0.,0.011,,,,0.02,0.,0.02,0.04,0.,0.04,0.024,0.,0.024
92,0,92,187,3,92,,,,,,,,,,0.028,0.,0.028,,,,,,
93,0,93,189,3,93,,,,,,,,,,0.029,0.,0.029,,,,,,
93,1,31,193,7,93,0.016,0.,0.016,0.016,0.,0.016,,,,0.025,0.,0.025,0.049,0.,0.049,0.036,0.,0.036
93,4,3,249,63,93,0.005,0.,0.005,0.004,0.,0.004,0.062,0.,0.062,0.016,0.,0.016,0.03,0.,0.03,0.01,0.,0.01
94,0,94,191,3,94,0.025,0.,0.025,,,,,,,0.032,0.,0.032,0.066,0.,0.065,0.049,0.,0.049
95,0,95,193,3,95,,,,,,,0.081,0.,0.081,0.031,0.,0.031,,,,,,
96,0,96,195,3,96,,,,,,,,,,0.035,0.,0.035,,,,,,
96,1,32,199,7,96,,,,,,,0.079,0.,0.079,0.025,0.,0.025,0.052,0.,0.052,,,
97,0,97,197,3,97,0.027,0.,0.027,0.027,0.,0.027,,,,0.033,0.,0.033,0.07,0.,0.07,0.051,0.,0.051
98,0,98,199,3,98,,,,,,,,,,0.036,0.,0.036,,,,,,
98,2,14,211,15,98,0.012,0.,0.012,0.012,0.,0.012,0.081,0.,0.081,0.021,0.,0.021,0.045,0.,0.045,0.026,0.,0.026
99,0,99,201,3,99,,,,,,,,,,0.035,0.003,0.031,,,,,,
99,1,33,205,7,99,0.019,0.,0.019,0.019,0.,0.019,,,,0.029,0.,0.029,0.055,0.,0.055,0.042,0.,0.042
100,0,100,203,3,100,0.026,0.,0.026,,,,,,,0.037,0.,0.037,0.073,0.,0.073,0.057,0.,0.057
101,0,101,205,3,101,,,,,,,,,,0.036,0.,0.036,,,,,,
102,0,102,207,3,102,,,,,,,,,,0.044,0.,0.044,,,,,,
102,1,34,211,7,102,,,,,,,0.101,0.,0.101,0.029,0.,0.029,0.058,0.,0.058,,,
103,0,103,209,3,103,0.032,0.,0.032,0.03,0.,0.03,,,,0.037,0.004,0.033,0.075,0.,0.075,0.061,0.,0.061
104,0,104,211,3,104,,,,,,,,,,0.037,0.003,0.034,,,,,,
105,0,105,213,3,105,,,,,,,,,,0.042,0.,0.042,,,,,,
105,1,35,217,7,105,0.02,0.,0.02,0.02,0.,0.02,,,,0.032,0.003,0.028,0.061,0.,0.061,0.048,0.,0.048
105,2,15,225,15,105,0.013,0.,0.013,0.014,0.003,0.011,,,,0.024,0.,0.024,0.05,0.,0.05,0.032,0.,0.032
105,3,7,241,31,105,0.008,0.,0.008,0.049,0.007,0.042,0.086,0.,0.086,0.02,0.,0.02,0.042,0.,0.042,0.017,0.,0.016
106,0,106,215,3,106,0.03,0.,0.03,,,,,,,0.038,0.,0.038,0.078,0.,0.078,0.064,0.,0.064
107,0,107,217,3,107,,,,,,,,,,0.04,0.,0.04,,,,,,
108,0,108,219,3,108,,,,,,,,,,0.041,0.,0.041,,,,,,
108,1,36,223,7,108,,,,,,,,,,0.032,0.,0.032,0.064,0.,0.064,,,
109,0,109,221,3,109,0.033,0.,0.033,0.036,0.,0.036,,,,0.039,0.,0.039,0.08,0.,0.08,0.063,0.,0.063
110,0,110,223,3,110,,,,,,,,,,0.044,0.,0.044,,,,,,
111,0,111,225,3,111,,,,,,,,,,0.041,0.,0.041,,,,,,
111,1,37,229,7,111,0.022,0.,0.022,0.023,0.,0.023,,,,0.035,0.,0.035,0.067,0.,0.067,0.05,0.,0.05
112,0,112,227,3,112,0.034,0.,0.034,,,,,,,0.044,0.,0.044,0.083,0.003,0.08,0.067,0.,0.067
112,2,16,239,15,112,0.014,0.,0.014,0.014,0.,0.014,,,,0.029,0.,0.029,0.056,0.,0.056,0.034,0.,0.034
113,0,113,229,3,113,,,,,,,,,,0.04,0.,0.04,,,,,,
114,0,114,231,3,114,,,,,,,,,,0.043,0.,0.043,,,,,,
114,1,38,235,7,114,,,,,,,,,,0.035,0.,0.035,0.07,0.,0.07,,,
115,0,115,233,3,115,0.036,0.,0.036,0.037,0.,0.037,,,,0.047,0.,0.047,0.094,0.,0.094,0.072,0.,0.072
116,0,116,235,3,116,,,,,,,,,,0.042,0.,0.042,,,,,,
117,0,117,237,3,117,,,,,,,,,,0.046,0.,0.046,,,,,,
117,1,39,241,7,117,0.024,0.,0.024,0.026,0.,0.026,,,,0.038,0.,0.038,0.074,0.,0.074,0.058,0.,0.058
118,0,118,239,3,118,0.036,0.,0.036,,,,,,,0.048,0.,0.048,0.09,0.,0.09,0.08,0.003,0.077
119,0,119,241,3,119,,,,,,,,,,0.05,0.,0.05,,,,,,
119,2,17,253,15,119,0.017,0.,0.017,0.016,0.,0.016,,,,0.03,0.,0.03,0.063,0.,0.063,0.038,0.,0.038
120,0,120,243,3,120,,,,,,,,,,0.046,0.,0.046,,,,,,
120,1,40,247,7,120,,,,,,,,,,0.038,0.,0.038,0.078,0.,0.078,,,
120,3,8,271,31,120,0.01,0.,0.01,0.01,0.,0.01,0.119,0.,0.119,0.026,0.,0.026,0.055,0.,0.055,0.022,0.,0.022
121,0,121,245,3,121,0.04,0.,0.04,0.043,0.,0.043,,,,0.048,0.,0.048,0.099,0.,0.099,0.085,0.,0.085
122,0,122,247,3,122,,,,,,,,,,0.051,0.,0.051,,,,,,
123,0,123,249,3,123,,,,,,,,,,0.052,0.,0.052,,,,,,
123,1,41,253,7,123,0.027,0.,0.027,0.029,0.,0.029,,,,0.041,0.,0.041,0.081,0.,0.081,0.065,0.,0.065
124,0,124,251,3,124,0.04,0.,0.04,,,,,,,0.049,0.,0.049,0.099,0.,0.099,0.089,0.,0.089
124,4,4,311,63,124,0.007,0.,0.007,0.007,0.,0.007,0.109,0.,0.109,0.023,0.,0.023,0.047,0.,0.047,0.017,0.,0.017
125,0,125,253,3,125,,,,,,,,,,0.05,0.,0.05,,,,,,
126,0,126,255,3,126,,,,,,,,,,0.058,0.,0.058,,,,,,
126,1,42,259,7,126,,,,,,,,,,0.045,0.,0.045,0.085,0.,0.085,,,
126,2,18,267,15,126,0.017,0.,0.017,0.018,0.,0.018,,,,0.036,0.,0.036,0.068,0.,0.068,0.042,0.,0.042
126,5,2,379,127,126,0.007,0.,0.007,0.005,0.,0.005,,,,0.023,0.,0.023,0.043,0.,0.043,0.011,0.,0.011
127,0,127,257,3,127,0.044,0.,0.044,0.044,0.,0.044,,,,0.055,0.,0.055,0.11,0.,0.11,0.091,0.,0.091
127,6,1,509,255,127,0.006,0.,0.006,0.005,0.,0.005,0.083,0.,0.083,0.027,0.,0.027,0.043,0.,0.043,0.009,0.,0.009
128,0,128,259,3,128,,,,,,,,,,0.056,0.,0.056,,,,,,
129,0,129,261,3,129,,,,,,,,,,0.063,0.,0.063,0.104,0.,0.104,,,
129,1,43,265,7,129,0.032,0.,0.032,0.031,0.,0.031,,,,0.046,0.,0.043,0.088,0.,0.088,0.07,0.,0.07
130,0,130,263,3,130,0.049,0.,0.049,,,,,,,0.057,0.,0.057,,,,0.091,0.,0.091
131,0,131,265,3,131,,,,,,,,,,0.068,0.,0.068,,,,,,
132,0,132,267,3,132,,,,,,,,,,0.07,0.,0.07,,,,,,
132,1,44,271,7,132,,,,,,,0.146,0.,0.146,0.048,0.,0.048,,,,,,
133,0,133,269,3,133,0.046,0.,0.046,0.049,0.,0.049,,,,0.07,0.,0.07,,,,0.103,0.,0.103
133,2,19,281,15,133,0.019,0.,0.019,0.02,0.,0.02,,,,0.036,0.,0.036,0.076,0.003,0.072,0.046,0.,0.046
134,0,134,271,3,134,,,,,,,,,,0.071,0.003,0.067,,,,,,
135,0,135,273,3,135,,,,,,,,,,0.066,0.,0.066,,,,,,
135,1,45,277,7,135,0.031,0.,0.031,0.037,0.,0.037,,,,0.051,0.,0.051,,,,0.077,0.,0.077
135,3,9,301,31,135,0.014,0.,0.014,0.012,0.,0.012,0.134,0.,0.134,0.03,0.,0.03,0.068,0.,0.068,0.027,0.,0.027
136,0,136,275,3,136,0.051,0.,0.051,,,,,,,0.058,0.,0.058,,,,0.1,0.,0.1
137,0,137,277,3,137,,,,,,,,,,0.059,0.,0.059,,,,,,
138,0,138,279,3,138,,,,,,,,,,0.066,0.,0.066,,,,,,
138,1,46,283,7,138,,,,,,,,,,0.178,0.,0.178,,,,0.08,0.,0.08
139,0,139,281,3,139,0.055,0.,0.055,0.05,0.,0.05,,,,0.095,0.003,0.091,,,,,,
140,0,140,283,3,140,,,,,,,,,,0.07,0.004,0.066,,,,,,
140,2,20,295,15,140,0.021,0.,0.021,0.022,0.,0.022,,,,0.041,0.,0.041,,,,0.057,0.,0.057
141,0,141,285,3,141,,,,,,,,,,0.066,0.003,0.062,,,,,,
141,1,47,289,7,141,0.034,0.,0.034,0.037,0.,0.037,,,,0.055,0.,0.055,,,,,,
142,0,142,287,3,142,0.053,0.,0.053,,,,,,,0.066,0.,0.066,,,,,,
143,0,143,289,3,143,,,,,,,,,,0.068,0.,0.068,,,,,,
144,0,144,291,3,144,,,,,,,,,,0.071,0.003,0.068,,,,,,
144,1,48,295,7,144,,,,,,,,,,0.07,0.,0.07,,,,,,
145,0,145,293,3,145,0.053,0.,0.053,0.055,0.,0.055,,,,0.071,0.,0.071,,,,,,
146,0,146,295,3,146,,,,,,,,,,0.074,0.,0.074,,,,,,
